T08,Public expenditure on education (new),,,,
454,Malawi,2013,Expenditure by level of education: tertiary (as % of government expenditure),28.3558,
454,Malawi,2013,Government expenditure on education (% of government expenditure),20.4242,
454,Malawi,2013,Public expenditure on education (% of GDP),5.4162,
454,Malawi,2015,Capital expenditure as % of total expenditure in public institutions (%),1.2472,
454,Malawi,2015,Expenditure by level of education: primary (as % of government expenditure),43.9515,
454,Malawi,2015,Expenditure by level of education: secondary (as % of government expenditure),27.8019,
454,Malawi,2015,Expenditure by level of education: tertiary (as % of government expenditure),24.2089,
454,Malawi,2015,Government expenditure on education (% of government expenditure),21.5516,
454,Malawi,2015,Public expenditure on education (% of GDP),5.6087,
454,Malawi,2016,Capital expenditure as % of total expenditure in public institutions (%),3.0698,
454,Malawi,2016,Expenditure by level of education: primary (as % of government expenditure),43.9202,
454,Malawi,2016,Expenditure by level of education: secondary (as % of government expenditure),28.756,
454,Malawi,2016,Expenditure by level of education: tertiary (as % of government expenditure),23.1065,
454,Malawi,2016,Government expenditure on education (% of government expenditure),17.1036,
454,Malawi,2016,Public expenditure on education (% of GDP),4.7486,
454,Malawi,2018,Government expenditure on education (% of government expenditure),15.7802,Estimate.
454,Malawi,2018,Public expenditure on education (% of GDP),4.7148,Estimate.
458,Malaysia,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.1657,
458,Malaysia,2004,All staff compensation as % of total expenditure in public institutions (%),56.7506,
458,Malaysia,2004,Capital expenditure as % of total expenditure in public institutions (%),13.0838,
458,Malaysia,2004,Expenditure by level of education: pre-primary (as % of government expenditure),1.1352,
458,Malaysia,2004,Expenditure by level of education: primary (as % of government expenditure),29.5719,
458,Malaysia,2004,Expenditure by level of education: secondary (as % of government expenditure),35.0946,
458,Malaysia,2004,Expenditure by level of education: tertiary (as % of government expenditure),33.4452,
458,Malaysia,2004,Government expenditure on education (% of government expenditure),21.0129,
458,Malaysia,2004,Public expenditure on education (% of GDP),5.9239,
458,Malaysia,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.6887,
458,Malaysia,2009,All staff compensation as % of total expenditure in public institutions (%),68.8152,
458,Malaysia,2009,Capital expenditure as % of total expenditure in public institutions (%),15.4961,
458,Malaysia,2009,Expenditure by level of education: pre-primary (as % of government expenditure),1.1876,
458,Malaysia,2009,Expenditure by level of education: primary (as % of government expenditure),27.6763,
458,Malaysia,2009,Expenditure by level of education: secondary (as % of government expenditure),32.8058,
458,Malaysia,2009,Expenditure by level of education: tertiary (as % of government expenditure),35.9443,
458,Malaysia,2009,Government expenditure on education (% of government expenditure),18.4646,
458,Malaysia,2009,Public expenditure on education (% of GDP),5.9742,
458,Malaysia,2010,Expenditure by level of education: pre-primary (as % of government expenditure),1.1762,
458,Malaysia,2010,Expenditure by level of education: primary (as % of government expenditure),28.5825,
458,Malaysia,2010,Expenditure by level of education: secondary (as % of government expenditure),33.7167,
458,Malaysia,2010,Expenditure by level of education: tertiary (as % of government expenditure),34.454,
458,Malaysia,2010,Government expenditure on education (% of government expenditure),18.4062,
458,Malaysia,2010,Public expenditure on education (% of GDP),4.9665,
458,Malaysia,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.3907,
458,Malaysia,2013,All staff compensation as % of total expenditure in public institutions (%),65.0722,
458,Malaysia,2013,Capital expenditure as % of total expenditure in public institutions (%),9.5371,
458,Malaysia,2013,Expenditure by level of education: pre-primary (as % of government expenditure),3.1225,
458,Malaysia,2013,Expenditure by level of education: primary (as % of government expenditure),32.1484,
458,Malaysia,2013,Expenditure by level of education: secondary (as % of government expenditure),34.2118,
458,Malaysia,2013,Expenditure by level of education: tertiary (as % of government expenditure),30.5074,
458,Malaysia,2013,Government expenditure on education (% of government expenditure),19.4543,
458,Malaysia,2013,Public expenditure on education (% of GDP),5.4812,
458,Malaysia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),28.6661,
458,Malaysia,2015,All staff compensation as % of total expenditure in public institutions (%),65.7242,
458,Malaysia,2015,Capital expenditure as % of total expenditure in public institutions (%),5.6098,
458,Malaysia,2015,Expenditure by level of education: pre-primary (as % of government expenditure),3.1048,
458,Malaysia,2015,Expenditure by level of education: primary (as % of government expenditure),33.197,
458,Malaysia,2015,Government expenditure on education (% of government expenditure),19.8108,
458,Malaysia,2015,Public expenditure on education (% of GDP),4.9727,
458,Malaysia,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.2646,
458,Malaysia,2018,All staff compensation as % of total expenditure in public institutions (%),72.0963,
458,Malaysia,2018,Capital expenditure as % of total expenditure in public institutions (%),6.6391,
458,Malaysia,2018,Expenditure by level of education: pre-primary (as % of government expenditure),3.2067,
458,Malaysia,2018,Expenditure by level of education: primary (as % of government expenditure),34.0356,
458,Malaysia,2018,Expenditure by level of education: secondary (as % of government expenditure),41.3696,
458,Malaysia,2018,Expenditure by level of education: tertiary (as % of government expenditure),21.3471,
458,Malaysia,2018,Government expenditure on education (% of government expenditure),19.7386,
458,Malaysia,2018,Public expenditure on education (% of GDP),4.5348,
462,Maldives,2005,Expenditure by level of education: primary (as % of government expenditure),54.1295,
462,Maldives,2005,Government expenditure on education (% of government expenditure),13.015,
462,Maldives,2005,Public expenditure on education (% of GDP),5.0168,
462,Maldives,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.4873,
462,Maldives,2010,All staff compensation as % of total expenditure in public institutions (%),78.2638,
462,Maldives,2010,Capital expenditure as % of total expenditure in public institutions (%),1.249,
462,Maldives,2010,Expenditure by level of education: pre-primary (as % of government expenditure),12.6641,
462,Maldives,2010,Expenditure by level of education: primary (as % of government expenditure),42.515,
462,Maldives,2010,Expenditure by level of education: secondary (as % of government expenditure),25.0387,
462,Maldives,2010,Expenditure by level of education: tertiary (as % of government expenditure),7.2588,
462,Maldives,2010,Government expenditure on education (% of government expenditure),12.4606,
462,Maldives,2010,Public expenditure on education (% of GDP),4.1175,
462,Maldives,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),43.4724,
462,Maldives,2015,All staff compensation as % of total expenditure in public institutions (%),55.5662,
462,Maldives,2015,Capital expenditure as % of total expenditure in public institutions (%),0.9614,
462,Maldives,2015,Expenditure by level of education: pre-primary (as % of government expenditure),11.8146,
462,Maldives,2015,Expenditure by level of education: primary (as % of government expenditure),39.6633,
462,Maldives,2015,Expenditure by level of education: secondary (as % of government expenditure),24.3053,
462,Maldives,2015,Expenditure by level of education: tertiary (as % of government expenditure),12.7472,
462,Maldives,2015,Government expenditure on education (% of government expenditure),12.8908,
462,Maldives,2015,Public expenditure on education (% of GDP),4.3666,
462,Maldives,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),38.4438,
462,Maldives,2016,All staff compensation as % of total expenditure in public institutions (%),60.8358,
462,Maldives,2016,Capital expenditure as % of total expenditure in public institutions (%),0.7204,
462,Maldives,2016,Expenditure by level of education: pre-primary (as % of government expenditure),10.8414,
462,Maldives,2016,Expenditure by level of education: primary (as % of government expenditure),36.3961,
462,Maldives,2016,Expenditure by level of education: secondary (as % of government expenditure),21.6052,
462,Maldives,2016,Expenditure by level of education: tertiary (as % of government expenditure),20.5892,
462,Maldives,2016,Government expenditure on education (% of government expenditure),11.2815,
462,Maldives,2016,Public expenditure on education (% of GDP),4.0673,
466,Mali,2005,Government expenditure on education (% of government expenditure),16.2803,
